"customer_id","name","total_spent","customer_category"
217,"Neha","13634.16","Gold"
89,"Ishaan","12916.17","Gold"
202,"Aditya","11669.31","Gold"
86,"Shreya","10911.27","Gold"
227,"Yash","10500.20","Gold"
184,"Saanvi","10066.24","Gold"
129,"Swara","9843.44","Gold"
203,"Tanya","9629.84","Gold"
34,"Shreya","9413.42","Gold"
247,"Meera","9151.67","Gold"
192,"Komal","8729.07","Gold"
276,"Anjali","8698.30","Gold"
104,"Meera","8667.11","Gold"
154,"Aniket","8570.93","Gold"
294,"Aditya","8262.18","Gold"
68,"Karthik","8154.98","Gold"
49,"Aniket","8027.87","Gold"
282,"Yash","7983.23","Gold"
127,"Tanya","7904.99","Gold"
190,"Kavya","7810.10","Gold"
168,"Riya","7777.10","Gold"
136,"Sara","7770.79","Gold"
231,"Myra","7576.98","Gold"
51,"Sai","7549.01","Gold"
220,"Saanvi","7521.42","Gold"
133,"Rohan","7514.85","Gold"
83,"Sara","7441.65","Gold"
199,"Aditya","7385.64","Gold"
214,"Diya","7321.33","Gold"
195,"Anika","7293.90","Gold"
148,"Simran","7233.20","Gold"
235,"Harsh","7138.47","Gold"
167,"Anika","7063.31","Gold"
88,"Pari","6976.29","Gold"
6,"Sara","6953.28","Gold"
77,"Vivaan","6936.75","Gold"
28,"Varun","6907.93","Gold"
204,"Neha","6877.46","Gold"
106,"Ishaan","6857.50","Gold"
197,"Komal","6717.07","Gold"
20,"Yash","6692.88","Gold"
71,"Aanya","6654.36","Gold"
31,"Saanvi","6643.14","Gold"
142,"Reyansh","6633.90","Gold"
82,"Payal","6629.96","Gold"
140,"Sara","6624.56","Gold"
137,"Vivaan","6622.70","Gold"
170,"Ira","6581.68","Gold"
267,"Riya","6575.96","Gold"
23,"Bhavya","6558.47","Gold"
292,"Pooja","6550.26","Gold"
243,"Raj","6463.80","Gold"
43,"Vihaan","6422.62","Gold"
123,"Ishaan","6326.28","Gold"
147,"Varun","6270.96","Gold"
160,"Anjali","6258.84","Gold"
229,"Reyansh","6216.45","Gold"
290,"Shreya","6197.81","Gold"
212,"Ishaan","6160.03","Gold"
244,"Raj","6151.83","Gold"
36,"Siddharth","5985.87","Gold"
183,"Sneha","5921.39","Gold"
274,"Ishita","5893.57","Gold"
155,"Kavya","5877.48","Gold"
45,"Aditya","5837.74","Gold"
85,"Payal","5770.70","Gold"
208,"Krishna","5710.74","Gold"
118,"Manav","5580.31","Gold"
16,"Nikhil","5574.12","Gold"
299,"Tanya","5542.25","Gold"
218,"Anika","5538.53","Gold"
185,"Aanya","5535.64","Gold"
40,"Bhavya","5518.25","Gold"
300,"Ira","5500.61","Gold"
207,"Ira","5494.17","Gold"
182,"Amit","5479.96","Gold"
152,"Komal","5470.66","Gold"
172,"Sara","5386.32","Gold"
75,"Varun","5348.52","Gold"
42,"Yash","5299.52","Gold"
206,"Tanya","5277.26","Gold"
260,"Ayaan","5240.45","Gold"
39,"Rohan","5119.02","Gold"
265,"Shaurya","5118.77","Gold"
125,"Varun","5014.40","Gold"
149,"Simran","4973.20","Silver"
281,"Riya","4958.45","Silver"
228,"Arnav","4932.88","Silver"
254,"Diya","4913.89","Silver"
29,"Radhika","4883.31","Silver"
62,"Vivaan","4861.89","Silver"
87,"Kunal","4836.69","Silver"
58,"Sara","4775.08","Silver"
242,"Aanya","4719.16","Silver"
198,"Sneha","4707.06","Silver"
246,"Nandini","4699.76","Silver"
27,"Pari","4658.17","Silver"
177,"Simran","4585.75","Silver"
196,"Lavanya","4543.59","Silver"
270,"Meera","4539.18","Silver"
163,"Swara","4484.95","Silver"
262,"Ananya","4465.58","Silver"
210,"Radhika","4426.65","Silver"
44,"Vivaan","4425.91","Silver"
162,"Neha","4396.08","Silver"
216,"Ananya","4393.03","Silver"
189,"Shreya","4333.58","Silver"
3,"Manav","4302.86","Silver"
53,"Manav","4217.06","Silver"
2,"Arjun","4212.01","Silver"
278,"Atharv","4164.18","Silver"
120,"Kavya","4155.29","Silver"
179,"Manav","4137.25","Silver"
293,"Deepak","4054.78","Silver"
156,"Kavya","4053.80","Silver"
295,"Nandini","4034.43","Silver"
54,"Aniket","4033.71","Silver"
193,"Aditi","4027.11","Silver"
95,"Aniket","4022.07","Silver"
157,"Ishita","4006.65","Silver"
261,"Saanvi","3992.08","Silver"
250,"Bhavya","3988.09","Silver"
256,"Simran","3959.04","Silver"
249,"Kavya","3944.37","Silver"
187,"Tanya","3934.29","Silver"
273,"Diya","3913.83","Silver"
275,"Arjun","3900.63","Silver"
25,"Saanvi","3898.80","Silver"
296,"Pooja","3885.20","Silver"
269,"Anjali","3885.09","Silver"
139,"Aniket","3880.61","Silver"
4,"Aditya","3879.36","Silver"
191,"Anjali","3831.27","Silver"
124,"Shreya","3828.02","Silver"
291,"Sai","3819.67","Silver"
55,"Deepak","3802.88","Silver"
138,"Dhruv","3800.34","Silver"
19,"Siddharth","3782.80","Silver"
108,"Deepak","3773.24","Silver"
237,"Shreya","3762.89","Silver"
169,"Riya","3754.28","Silver"
67,"Harsh","3750.22","Silver"
233,"Saanvi","3730.29","Silver"
102,"Rahul","3666.29","Silver"
52,"Aanya","3641.58","Silver"
21,"Reyansh","3634.09","Silver"
287,"Meera","3628.11","Silver"
81,"Atharv","3621.74","Silver"
8,"Riya","3613.42","Silver"
130,"Ishita","3601.97","Silver"
224,"Raj","3594.84","Silver"
205,"Kavya","3550.62","Silver"
103,"Atharv","3550.51","Silver"
239,"Tanya","3519.99","Silver"
114,"Siddharth","3508.66","Silver"
24,"Amit","3506.19","Silver"
26,"Navya","3496.80","Silver"
13,"Kunal","3458.83","Silver"
263,"Priya","3437.35","Silver"
266,"Nikhil","3436.23","Silver"
251,"Saanvi","3429.07","Silver"
171,"Varun","3383.91","Silver"
180,"Ishita","3379.72","Silver"
194,"Riya","3378.23","Silver"
213,"Aniket","3376.43","Silver"
286,"Krishna","3374.83","Silver"
283,"Sara","3365.03","Silver"
135,"Saanvi","3347.84","Silver"
72,"Myra","3345.26","Silver"
201,"Nandini","3337.59","Silver"
107,"Karthik","3331.29","Silver"
253,"Siddharth","3327.90","Silver"
164,"Payal","3323.91","Silver"
211,"Ananya","3307.67","Silver"
37,"Ananya","3295.35","Silver"
223,"Shreya","3292.31","Silver"
174,"Rahul","3284.12","Silver"
150,"Arnav","3263.68","Silver"
99,"Anika","3259.94","Silver"
101,"Deepak","3254.19","Silver"
15,"Vivaan","3197.76","Silver"
284,"Raj","3186.11","Silver"
240,"Pooja","3173.33","Silver"
178,"Raj","3148.29","Silver"
47,"Arnav","3134.63","Silver"
105,"Siddharth","3101.26","Silver"
257,"Sneha","3068.84","Silver"
78,"Aditya","3015.46","Silver"
112,"Muhammad","3015.32","Silver"
209,"Muhammad","2984.95","Silver"
146,"Bhavya","2966.90","Silver"
221,"Arjun","2941.90","Silver"
258,"Komal","2938.94","Silver"
74,"Vivaan","2933.60","Silver"
79,"Shaurya","2895.44","Silver"
277,"Rohan","2850.83","Silver"
225,"Payal","2840.08","Silver"
158,"Nikhil","2815.57","Silver"
10,"Shaurya","2795.38","Silver"
38,"Dhruv","2772.40","Silver"
264,"Neha","2711.22","Silver"
9,"Raj","2655.40","Silver"
288,"Rohan","2630.01","Silver"
232,"Tanya","2617.36","Silver"
153,"Arjun","2590.53","Silver"
134,"Ayaan","2580.08","Silver"
